Date,Cheese
1994-01,538254
1994-02,505832
1994-03,591771
1994-04,554299
1994-05,590354
1994-06,558738
1994-07,550730
1994-08,562464
1994-09,565480
1994-10,574510
1994-11,559322
1994-12,578313
1995-01,565566
1995-02,528350
1995-03,593877
1995-04,563941
1995-05,597518
1995-06,587570
1995-07,560867
1995-08,559114
1995-09,575712
1995-10,585623
1995-11,586516
1995-12,609623
1996-01,589952
1996-02,576024
1996-03,625400
1996-04,606017
1996-05,636544
1996-06,595823
1996-07,582210
1996-08,589483
1996-09,584468
1996-10,612242
1996-11,595495
1996-12,623886
1997-01,596052
1997-02,574617
1997-03,638073
1997-04,601701
1997-05,640474
1997-06,627510
1997-07,615269
1997-08,601012
1997-09,605713
1997-10,619598
1997-11,602164
1997-12,629212
1998-01,617438
1998-02,574148
1998-03,646565
1998-04,639077
1998-05,652554
1998-06,642070
1998-07,610087
1998-08,598644
1998-09,584112
1998-10,632137
1998-11,636582
1998-12,668489
1999-01,634037
1999-02,592688
1999-03,697446
1999-04,669670
1999-05,675002
1999-06,669448
1999-07,649811
1999-08,648462
1999-09,641271
1999-10,671932
1999-11,688450
1999-12,705815
2000-01,686908
2000-02,645567
2000-03,717926
2000-04,693455
2000-05,737066
2000-06,697668
2000-07,690026
2000-08,686478
2000-09,655149
2000-10,691579
2000-11,671893
2000-12,689982
2001-01,680299
2001-02,625310
2001-03,713722
2001-04,670221
2001-05,706790
2001-06,678517
2001-07,676018
2001-08,660033
2001-09,641785
2001-10,682080
2001-11,691229
2001-12,703090
2002-01,717454
2002-02,667887
2002-03,742764
2002-04,719231
2002-05,748263
2002-06,708284
2002-07,692195
2002-08,714314
2002-09,683895
2002-10,732157
2002-11,725444
2002-12,747161
2003-01,714838
2003-02,648644
2003-03,730287
2003-04,718834
2003-05,737027
2003-06,712309
2003-07,718258
2003-08,700132
2003-09,708708
2003-10,740016
2003-11,710036
2003-12,758887
2004-01,737997
2004-02,705525
2004-03,785626
2004-04,761046
2004-05,752051
2004-06,715332
2004-07,708739
2004-08,719538
2004-09,714357
2004-10,748044
2004-11,754345
2004-12,773863
2005-01,754684
2005-02,707365
2005-03,799304
2005-04,756908
2005-05,785539
2005-06,762689
2005-07,737713
2005-08,754063
2005-09,741911
2005-10,758249
2005-11,761511
2005-12,791287
2006-01,782671
2006-02,720501
2006-03,820805
2006-04,793585
2006-05,820034
2006-06,796104
2006-07,775398
2006-08,795133
2006-09,788604
2006-10,812276
2006-11,798104
2006-12,831116
2007-01,822889
2007-02,754132
2007-03,840522
2007-04,803834
2007-05,824627
2007-06,792579
2007-07,799498
2007-08,797033
2007-09,777163
2007-10,825769
2007-11,815175
2007-12,847278
2008-01,821181
2008-02,792408
2008-03,843830
2008-04,820401
2008-05,838551
2008-06,816225
2008-07,822182
2008-08,828318
2008-09,809580
2008-10,850203
2008-11,828591
2008-12,863060
2009-01,826893
2009-02,767975
2009-03,870517
2009-04,847593
2009-05,856100
2009-06,838100
2009-07,842752
2009-08,850684
2009-09,842490
2009-10,862785
2009-11,839532
2009-12,863872
2010-01,841646
2010-02,775273
2010-03,891633
2010-04,862016
2010-05,879255
2010-06,880850
2010-07,881641
2010-08,875194
2010-09,878632
2010-10,891852
2010-11,882960
2010-12,907782
2011-01,883783
2011-02,804818
2011-03,912462
2011-04,883665
2011-05,912486
2011-06,889129
2011-07,855080
2011-08,861966
2011-09,868015
2011-10,899347
2011-11,895680
2011-12,930599
2012-01,911942
2012-02,861487
2012-03,956196
2012-04,899436
2012-05,918053
2012-06,901108
2012-07,883021
2012-08,891398
2012-09,871539
2012-10,930450
2012-11,914245
2012-12,951269
2013-01,931558
2013-02,848479
2013-03,954147
2013-04,929536
2013-05,943763
2013-06,912087
2013-07,893794
2013-08,931591
2013-09,899533
2013-10,955088
2013-11,922370
2013-12,979189
2014-01,957780
2014-02,854426
2014-03,970226
2014-04,961102
2014-05,970995
2014-06,945056
2014-07,958491
2014-08,941939
2014-09,933903
2014-10,976400
2014-11,970077
2014-12,1009722
2015-01,994542
2015-02,896222
2015-03,1011401
2015-04,977734
2015-05,986103
2015-06,976802
2015-07,1003072
2015-08,978177
2015-09,966057
2015-10,1027279
2015-11,984720
2015-12,1036316
2016-01,1003278
2016-02,955051
2016-03,1025629
2016-04,991181
2016-05,1002024
2016-06,990753
2016-07,1012526
2016-08,999583
2016-09,985312
2016-10,1038075
2016-11,1019809
2016-12,1052861
2017-01,1064232
2017-02,957650
2017-03,1071819
2017-04,1057848
2017-05,1076171
2017-06,1045875
2017-07,1051675
2017-08,1046041
2017-09,1024757
2017-10,1086865
2017-11,1070668
2017-12,1105490
2018-01,1098670
2018-02,992824
2018-03,1108022
2018-04,1078148
2018-05,1085249
2018-06,1065989
2018-07,1087097
2018-08,1086966
2018-09,1059076
2018-10,1154170
2018-11,1095965
2018-12,1112411
2019-01,1116577
2019-02,1003696
2019-03,1122414
2019-04,1085010
2019-05,1105886
2019-06,1067702
2019-07,1087602
2019-08,1113646
2019-09,1080526
2019-10,1138241
2019-11,1093397
2019-12,1122546
